
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
FA:50:B9:37:81:06, 2025-04-30 15:27:12, 2025-04-30 15:28:51,  1, 180, WPA2, CCMP, PSK, -47,       67,        0,   0.  0.  0.  0,   5, ellaa, 
00:0B:82:F1:DD:E5, 2025-04-30 15:27:12, 2025-04-30 15:28:51,  1, 195, WPA2, CCMP, PSK, -73,       30,        0,   0.  0.  0.  0,   6, ISSATM, 
52:EC:53:AE:84:BA, 2025-04-30 15:27:12, 2025-04-30 15:28:51,  1, 180, WPA2, CCMP, PSK, -40,       69,       16,   0.  0.  0.  0,  11, POCO M4 Pro, 
34:58:40:C4:F3:50, 2025-04-30 15:27:12, 2025-04-30 15:28:51,  1, 360, WPA2 WPA, CCMP, PSK, -71,       56,        0,   0.  0.  0.  0,  11, HW-Etudiant, 
34:58:40:C4:F3:52, 2025-04-30 15:27:12, 2025-04-30 15:28:51,  1, 360, WPA2 WPA, CCMP TKIP, PSK, -71,       38,        0,   0.  0.  0.  0,  17, HW-Administration, 
4C:44:5B:32:8B:E2, 2025-04-30 15:27:12, 2025-04-30 15:28:51,  1, 130, WPA3 WPA2, CCMP, SAE CMAC PSK, -46,       66,       74,   0.  0.  0.  0,  20, etudiant-Vostro-3910, 
34:58:40:C4:F3:51, 2025-04-30 15:27:12, 2025-04-30 15:28:51,  1, 360, WPA2 WPA, CCMP TKIP, PSK, -71,       42,        0,   0.  0.  0.  0,  13, HW-Enseignant, 
4E:81:D9:FC:4B:B9, 2025-04-30 15:27:12, 2025-04-30 15:28:51,  6, 180, WPA2, CCMP, PSK, -34,       75,       68,   0.  0.  0.  0,   3, abc, 
C2:F7:6A:53:95:03, 2025-04-30 15:27:12, 2025-04-30 15:28:51, 13, 180, WPA2, CCMP, PSK, -75,       50,        1,   0.  0.  0.  0,   7, Infinix, 
3E:81:65:AE:28:C8, 2025-04-30 15:27:12, 2025-04-30 15:28:50, 13,  54, WPA2, CCMP, PSK, -29,       62,        0,   0.  0.  0.  0,   6, Chadha, 
60:A4:B7:42:45:C8, 2025-04-30 15:27:13, 2025-04-30 15:28:45,  3, 130, WPA2, CCMP TKIP, PSK, -77,        7,        0,   0.  0.  0.  0,  10, Hedi-Rouma, 
34:58:40:C4:F2:DB, 2025-04-30 15:27:15, 2025-04-30 15:28:50, 11, 360, WPA2, CCMP, PSK, -73,       48,        0,   0.  0.  0.  0,  14, hw_manage_f2d0, 
66:27:B9:4A:72:DC, 2025-04-30 15:27:15, 2025-04-30 15:27:53,  6, 130, WPA2, CCMP, PSK, -40,       24,       10,   0.  0.  0.  0,  14, , 
2E:72:9C:8D:04:DF, 2025-04-30 15:27:15, 2025-04-30 15:28:51,  6, 360, WPA2, CCMP, PSK, -44,       59,        0,   0.  0.  0.  0,  13, S24UltraMehdi, 
34:58:40:C4:F2:B0, 2025-04-30 15:27:15, 2025-04-30 15:28:24,  6, 360, WPA2 WPA, CCMP, PSK, -79,        2,        0,   0.  0.  0.  0,  11, HW-Etudiant, 
00:0B:82:F1:DD:B5, 2025-04-30 15:27:19, 2025-04-30 15:28:46, 11, 195, WPA2, CCMP, PSK, -77,        8,        3,   0.  0.  0.  0,   6, ISSATM, 
34:58:40:C4:F2:B1, 2025-04-30 15:28:24, 2025-04-30 15:28:24,  6, 360, WPA2 WPA, CCMP TKIP, PSK, -77,        1,        0,   0.  0.  0.  0,  13, HW-Enseignant, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:45:E2:3C:2C:63, 2025-04-30 15:27:12, 2025-04-30 15:28:34, -56,       27, 52:EC:53:AE:84:BA,
90:E8:68:F3:9D:C3, 2025-04-30 15:27:12, 2025-04-30 15:28:51, -40,       78, 4C:44:5B:32:8B:E2,
C0:95:6D:47:46:EF, 2025-04-30 15:27:12, 2025-04-30 15:28:51, -62,       72, 4E:81:D9:FC:4B:B9,
E4:60:17:8B:0A:D3, 2025-04-30 15:27:12, 2025-04-30 15:27:12, -44,        2, 4C:44:5B:32:8B:E2,
2E:A8:EA:B9:A9:6B, 2025-04-30 15:27:16, 2025-04-30 15:28:51, -44,       58, 4C:44:5B:32:8B:E2,
00:45:E2:41:D9:6B, 2025-04-30 15:27:18, 2025-04-30 15:28:24, -44,       41, 52:EC:53:AE:84:BA,
34:58:40:C4:F3:50, 2025-04-30 15:27:19, 2025-04-30 15:28:47, -60,       13, (not associated) ,huawei_neighbor_discovery
34:58:40:C4:F2:B0, 2025-04-30 15:27:19, 2025-04-30 15:28:47, -74,        2, (not associated) ,huawei_neighbor_discovery
4C:44:5B:32:4C:81, 2025-04-30 15:27:19, 2025-04-30 15:28:48, -48,        8, 34:58:40:C4:F3:51,
6E:13:15:6C:29:E6, 2025-04-30 15:27:19, 2025-04-30 15:28:39, -48,       24, 4E:81:D9:FC:4B:B9,
5C:61:99:03:68:95, 2025-04-30 15:27:22, 2025-04-30 15:28:37, -22,       13, 4C:44:5B:32:8B:E2,
EA:85:73:21:3B:DC, 2025-04-30 15:27:27, 2025-04-30 15:27:27, -54,        3, 2E:72:9C:8D:04:DF,
EC:55:F9:83:78:39, 2025-04-30 15:27:34, 2025-04-30 15:28:51, -62,       12, C2:F7:6A:53:95:03,Infinix
90:CC:DF:DA:39:19, 2025-04-30 15:27:42, 2025-04-30 15:28:51, -48,       34, 2E:72:9C:8D:04:DF,
3E:97:B3:C8:F8:4E, 2025-04-30 15:27:48, 2025-04-30 15:27:48, -62,        2, 2E:72:9C:8D:04:DF,
AC:23:34:0B:7B:73, 2025-04-30 15:27:50, 2025-04-30 15:28:24, -44,        9, 4E:81:D9:FC:4B:B9,
58:6C:25:CC:69:33, 2025-04-30 15:27:59, 2025-04-30 15:27:59, -60,        2, (not associated) ,
CA:F0:30:91:70:6D, 2025-04-30 15:28:04, 2025-04-30 15:28:04, -80,        1, (not associated) ,
CA:F0:30:5D:28:B8, 2025-04-30 15:28:08, 2025-04-30 15:28:16, -64,        3, (not associated) ,HW-Etudiant
46:C1:DF:D2:14:D5, 2025-04-30 15:28:10, 2025-04-30 15:28:10, -56,        1, (not associated) ,
7A:0E:2E:D3:4F:C1, 2025-04-30 15:28:12, 2025-04-30 15:28:12, -42,        1, (not associated) ,
34:58:40:C4:E7:50, 2025-04-30 15:28:24, 2025-04-30 15:28:24, -76,        1, (not associated) ,huawei_neighbor_discovery
66:96:65:AE:3F:08, 2025-04-30 15:28:28, 2025-04-30 15:28:28, -68,        2, (not associated) ,
A2:5C:C0:23:35:01, 2025-04-30 15:28:32, 2025-04-30 15:28:36, -38,        5, 4C:44:5B:32:8B:E2,
34:58:40:C4:F3:30, 2025-04-30 15:28:34, 2025-04-30 15:28:35, -70,        5, (not associated) ,huawei_neighbor_discovery

