
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
3E:81:65:AE:28:C8, 2025-05-02 14:31:30, 2025-05-02 14:32:34,  5,  54, WPA2, CCMP, PSK, -59,       94,        0,   0.  0.  0.  0,   6, Chadha, 
4E:44:5B:32:8C:91, 2025-05-02 14:31:30, 2025-05-02 14:32:34,  6, 130, WPA2, CCMP, PSK, -49,      149,        0,   0.  0.  0.  0,  20, DESKTOP-4HQHG4L 2573, 
4E:81:D9:FC:4B:B9, 2025-05-02 14:31:30, 2025-05-02 14:32:34,  6, 180, WPA2, CCMP, PSK, -53,      115,       11,   0.  0.  0.  0,   3, abc, 
76:15:47:7D:8F:0C, 2025-05-02 14:31:30, 2025-05-02 14:32:34, 11,  65, WPA2, CCMP, PSK, -59,      130,       27,   0.  0.  0.  0,   6, galaxy, 
34:58:40:C4:F3:5B, 2025-05-02 14:31:30, 2025-05-02 14:32:34, 11, 360, WPA2, CCMP, PSK, -71,      122,        0,   0.  0.  0.  0,  14, hw_manage_f350, 
4C:44:5B:31:D3:96, 2025-05-02 14:31:31, 2025-05-02 14:32:34,  1, 130, WPA3 WPA2, CCMP, SAE CMAC PSK, -56,       76,        3,   0.  0.  0.  0,  20, etudiant-Vostro-3910, 
3A:C9:C8:A9:0D:F3, 2025-05-02 14:31:31, 2025-05-02 14:32:35,  6, 180, WPA2, CCMP, PSK, -53,      147,       38,   0.  0.  0.  0,  11, selmi firas, 
00:0B:82:F1:DD:E5, 2025-05-02 14:31:34, 2025-05-02 14:32:27,  1, 195, WPA2, CCMP, PSK, -84,       14,        0,   0.  0.  0.  0,   6, ISSATM, 
34:58:40:C4:F2:DB, 2025-05-02 14:31:37, 2025-05-02 14:32:34, 11, 360, WPA2, CCMP, PSK, -75,       40,        0,   0.  0.  0.  0,  14, hw_manage_f2d0, 
34:58:40:C4:F3:3B, 2025-05-02 14:31:38, 2025-05-02 14:31:57,  1, 360, WPA2, CCMP, PSK, -82,        2,        0,   0.  0.  0.  0,  14, hw_manage_f330, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:45:E2:41:D9:6B, 2025-05-02 14:31:31, 2025-05-02 14:32:35, -49,      165, 3A:C9:C8:A9:0D:F3,selmi firas
A2:5C:C0:23:35:01, 2025-05-02 14:31:32, 2025-05-02 14:32:34, -71,       43, 4C:44:5B:31:D3:96,
0E:1F:E1:9E:9A:7B, 2025-05-02 14:31:32, 2025-05-02 14:31:34, -57,       32, 4E:44:5B:32:8C:91,
F8:89:D2:AA:DC:67, 2025-05-02 14:31:32, 2025-05-02 14:32:32, -67,       62, 3A:C9:C8:A9:0D:F3,
4C:44:5B:32:4C:81, 2025-05-02 14:31:34, 2025-05-02 14:32:34, -63,       16, (not associated) ,
5C:61:99:03:68:95, 2025-05-02 14:31:34, 2025-05-02 14:32:34, -39,       51, 3A:C9:C8:A9:0D:F3,selmi firas
F0:A6:54:DE:CD:C9, 2025-05-02 14:31:34, 2025-05-02 14:32:34, -34,       14, 3A:C9:C8:A9:0D:F3,
C0:95:6D:47:46:EF, 2025-05-02 14:31:36, 2025-05-02 14:32:34, -67,       33, 4E:81:D9:FC:4B:B9,
4E:8C:49:81:72:46, 2025-05-02 14:31:48, 2025-05-02 14:31:48, -31,        1, 3A:C9:C8:A9:0D:F3,
94:39:E5:D9:84:F1, 2025-05-02 14:31:48, 2025-05-02 14:32:23, -57,       24, 76:15:47:7D:8F:0C,
34:58:40:C4:F3:5B, 2025-05-02 14:31:55, 2025-05-02 14:31:55, -66,        1, (not associated) ,huawei_neighbor_discovery
BE:6F:6C:EA:92:08, 2025-05-02 14:32:23, 2025-05-02 14:32:24, -63,        5, 4E:44:5B:32:8C:91,
84:14:4D:BB:F0:08, 2025-05-02 14:32:23, 2025-05-02 14:32:23, -60,        2, 3A:C9:C8:A9:0D:F3,
4C:44:5B:32:8C:91, 2025-05-02 14:32:25, 2025-05-02 14:32:25, -51,        1, (not associated) ,

