
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
CC:64:A6:75:A7:80, 2025-05-28 20:08:46, 2025-05-28 20:11:02,  1, 130, WPA2 WPA, CCMP, PSK, -67,       42,        0,   0.  0.  0.  0,  11, HUAWEI-6xQ4, 
08:AA:89:6D:36:A8, 2025-05-28 20:08:46, 2025-05-28 20:11:14, 13, 130, WPA2, CCMP, PSK, -51,       57,     7628,   0.  0.  0.  0,  18, OZONE_COFFEE_HOUSE, 
B2:FF:DC:19:82:41, 2025-05-28 20:08:48, 2025-05-28 20:11:08, 10, 180, WPA2, CCMP, PSK, -54,       37,        2,   0.  0.  0.  0,  17, Redmi Note 10 Pro, 
92:03:2E:CF:A6:79, 2025-05-28 20:08:49, 2025-05-28 20:11:01, 11, 130, WPA2, CCMP, PSK, -47,       52,        0,   0.  0.  0.  0,   0, , 
DA:E6:74:02:B0:6F, 2025-05-28 20:08:49, 2025-05-28 20:11:12,  6, 130, WPA3 WPA2, CCMP, SAE PSK, -70,       58,        2,   0.  0.  0.  0,  17, iPhone de khalil , 
DE:46:28:4E:75:C8, 2025-05-28 20:08:49, 2025-05-28 20:11:12,  6, 130, WPA2, CCMP, PSK, -60,       73,        2,   0.  0.  0.  0,   9, INES 4595, 
4A:0B:B9:CB:58:E3, 2025-05-28 20:08:49, 2025-05-28 20:11:12,  6, 130, WPA3 WPA2, CCMP, SAE PSK, -64,       60,        0,   0.  0.  0.  0,  11, iPhone 😈, 
76:DE:BC:38:93:96, 2025-05-28 20:08:49, 2025-05-28 20:11:12,  6, 130, WPA3 WPA2, CCMP, SAE PSK, -63,       47,       65,   0.  0.  0.  0,   5, Bouma, 
00:25:00:FF:94:73, 2025-05-28 20:08:49, 2025-05-28 20:11:12,  6,  -1, OPN, ,   ,  -1,        0,        6,   0.  0.  0.  0,   0, , 
74:FE:CE:2B:9E:BE, 2025-05-28 20:08:53, 2025-05-28 20:10:21,  6,  -1, OPN, ,   ,  -1,        0,        9, 192.168.  2. 30,   0, , 
90:03:2E:8F:A6:79, 2025-05-28 20:09:08, 2025-05-28 20:11:04, 11, 130, WPA2, CCMP TKIP, PSK, -47,       45,       21,   0.  0.  0.  0,  17, Ooredoo-ALHN-FDD1, 
FE:4A:54:81:EF:6A, 2025-05-28 20:09:12, 2025-05-28 20:09:12,  1, 360, WPA2, CCMP, PSK, -68,        2,        0,   0.  0.  0.  0,  14, Xiaomi 11T Pro, 
74:FE:CE:2B:B8:00, 2025-05-28 20:09:27, 2025-05-28 20:11:01,  1, 195, OPN, ,   , -73,        6,        1,   0.  0.  0.  0,   6, GO GYM, 
9C:73:70:DE:99:88, 2025-05-28 20:09:38, 2025-05-28 20:09:38, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
BA:16:5F:3C:01:66, 2025-05-28 20:09:49, 2025-05-28 20:10:34, 11,  65, WPA2, CCMP, PSK, -68,        3,        0,   0.  0.  0.  0,  23, [LG_Wall-Mount A/C]0166, 
BA:16:5F:A3:C7:24, 2025-05-28 20:10:00, 2025-05-28 20:10:19, 11,  65, WPA2, CCMP, PSK, -74,        2,        0,   0.  0.  0.  0,  23, [LG_Wall-Mount A/C]c724, 
BA:5C:7E:B4:6B:26, 2025-05-28 20:10:23, 2025-05-28 20:10:31,  6, 180, WPA2, CCMP, PSK, -75,        3,        0,   0.  0.  0.  0,  10, Galaxy A16, 
02:B9:22:3A:52:D6, 2025-05-28 20:10:54, 2025-05-28 20:10:58,  1, 180, WPA2, CCMP, PSK, -71,        2,        0,   0.  0.  0.  0,  13, Redmi Note 13, 
98:1A:35:97:7E:20, 2025-05-28 20:11:00, 2025-05-28 20:11:00,  4, 130, WPA2, CCMP, PSK, -69,        1,        0,   0.  0.  0.  0,  16, HUAWEI-2.4G-vYy7, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
CA:35:A6:D5:F7:A3, 2025-05-28 20:08:46, 2025-05-28 20:08:46, -64,        1, (not associated) ,
72:CF:60:1F:1F:0C, 2025-05-28 20:08:46, 2025-05-28 20:11:13, -42,     5422, 08:AA:89:6D:36:A8,
92:79:8F:B2:A8:B4, 2025-05-28 20:08:46, 2025-05-28 20:11:13, -80,       88, 08:AA:89:6D:36:A8,
7A:DC:CE:8C:91:9C, 2025-05-28 20:08:46, 2025-05-28 20:11:13, -58,       49, 08:AA:89:6D:36:A8,
3A:E6:1A:11:19:06, 2025-05-28 20:08:46, 2025-05-28 20:11:11, -68,       46, 08:AA:89:6D:36:A8,OZONE_COFFEE_HOUSE
C6:2F:67:C0:FB:EA, 2025-05-28 20:08:46, 2025-05-28 20:11:06, -44,      260, 08:AA:89:6D:36:A8,
F6:69:45:07:BE:00, 2025-05-28 20:08:47, 2025-05-28 20:11:13, -40,     1438, 08:AA:89:6D:36:A8,OZONE_COFFEE_HOUSE,Orange-66C1,Orange-A541,HUAWEI-2.4G-pfC8,Aymen69,Hilltop-coffee-shop,OoredooF243D8,HUAWEI-p94B,MARZOUK  
2A:DE:9C:D1:77:7E, 2025-05-28 20:08:47, 2025-05-28 20:11:13, -58,      129, 08:AA:89:6D:36:A8,
EA:13:A1:F3:13:83, 2025-05-28 20:08:47, 2025-05-28 20:11:13, -44,      513, 08:AA:89:6D:36:A8,
B8:1E:A4:71:D1:29, 2025-05-28 20:08:47, 2025-05-28 20:11:10, -46,      121, 08:AA:89:6D:36:A8,
AC:E0:10:32:6A:85, 2025-05-28 20:08:47, 2025-05-28 20:11:13, -40,      286, 08:AA:89:6D:36:A8,
F8:1A:2B:FE:AA:24, 2025-05-28 20:08:47, 2025-05-28 20:11:13, -58,      355, 08:AA:89:6D:36:A8,
56:5D:4D:F6:B9:8C, 2025-05-28 20:08:47, 2025-05-28 20:11:13, -42,      112, 08:AA:89:6D:36:A8,OZONE_COFFEE_HOUSE
86:0A:B2:1E:BD:CD, 2025-05-28 20:08:47, 2025-05-28 20:11:14, -62,      502, 08:AA:89:6D:36:A8,OZONE_COFFEE_HOUSE
42:67:91:BD:CB:FA, 2025-05-28 20:08:47, 2025-05-28 20:11:13, -54,      121, 08:AA:89:6D:36:A8,
36:6A:59:C0:04:A8, 2025-05-28 20:08:47, 2025-05-28 20:11:10, -64,       68, 08:AA:89:6D:36:A8,
40:CB:C0:21:46:E6, 2025-05-28 20:08:47, 2025-05-28 20:11:12, -78,       18, 08:AA:89:6D:36:A8,OZONE_COFFEE_HOUSE
F2:ED:8A:7A:B3:FD, 2025-05-28 20:08:49, 2025-05-28 20:11:09, -66,       39, 00:25:00:FF:94:73,
72:72:0D:AD:23:22, 2025-05-28 20:08:49, 2025-05-28 20:11:06, -58,       31, 08:AA:89:6D:36:A8,
26:DC:B8:64:BB:A0, 2025-05-28 20:08:50, 2025-05-28 20:11:05, -64,       36, 08:AA:89:6D:36:A8,
36:60:7F:68:67:56, 2025-05-28 20:08:50, 2025-05-28 20:10:39, -64,       16, 08:AA:89:6D:36:A8,OZONE_COFFEE_HOUSE
10:63:C8:49:70:29, 2025-05-28 20:08:50, 2025-05-28 20:10:58, -56,       41, 08:AA:89:6D:36:A8,
1A:E2:C1:D4:B3:EC, 2025-05-28 20:08:50, 2025-05-28 20:11:10, -66,      140, 08:AA:89:6D:36:A8,
BA:A6:77:16:34:1B, 2025-05-28 20:08:50, 2025-05-28 20:11:13, -70,       39, 08:AA:89:6D:36:A8,
68:17:29:89:A1:B1, 2025-05-28 20:08:50, 2025-05-28 20:10:51, -40,      102, 08:AA:89:6D:36:A8,OZONE_COFFEE_HOUSE
DE:7B:C7:EC:A7:81, 2025-05-28 20:08:52, 2025-05-28 20:08:52, -62,        1, (not associated) ,
EE:79:E0:F8:A8:1C, 2025-05-28 20:08:53, 2025-05-28 20:09:12, -76,        9, 74:FE:CE:2B:9E:BE,
5C:61:99:03:68:95, 2025-05-28 20:08:53, 2025-05-28 20:09:07, -26,        7, (not associated) ,GO GYM
3C:A0:67:13:B8:5C, 2025-05-28 20:08:53, 2025-05-28 20:10:42, -64,       78, 76:DE:BC:38:93:96,
F6:79:4C:75:E8:5D, 2025-05-28 20:08:54, 2025-05-28 20:08:54, -60,        1, (not associated) ,
1E:8D:33:D7:0A:D8, 2025-05-28 20:08:54, 2025-05-28 20:11:02, -68,       13, 08:AA:89:6D:36:A8,
CA:34:5E:78:1A:C8, 2025-05-28 20:08:54, 2025-05-28 20:11:10, -70,       65, 08:AA:89:6D:36:A8,
92:48:C4:16:84:5E, 2025-05-28 20:08:54, 2025-05-28 20:11:13, -26,       79, 08:AA:89:6D:36:A8,
0C:E4:41:ED:2F:77, 2025-05-28 20:08:57, 2025-05-28 20:09:42, -66,        8, DE:46:28:4E:75:C8,
2A:02:0D:4D:91:5C, 2025-05-28 20:08:57, 2025-05-28 20:08:57, -68,        1, (not associated) ,
92:F1:F6:E1:16:7F, 2025-05-28 20:08:58, 2025-05-28 20:11:06, -66,       31, 08:AA:89:6D:36:A8,
4E:51:4D:F7:71:0B, 2025-05-28 20:09:04, 2025-05-28 20:09:04, -60,        2, (not associated) ,
1A:C1:73:54:22:8F, 2025-05-28 20:09:04, 2025-05-28 20:09:04, -60,        2, (not associated) ,
0E:ED:BA:B9:18:E5, 2025-05-28 20:09:08, 2025-05-28 20:09:38, -62,       14, 00:25:00:FF:94:73,
26:26:8F:EF:EB:2F, 2025-05-28 20:09:12, 2025-05-28 20:09:12, -66,        1, (not associated) ,
A2:40:D6:15:38:6A, 2025-05-28 20:09:12, 2025-05-28 20:09:12, -44,        1, (not associated) ,
82:AE:15:8C:E6:4C, 2025-05-28 20:09:12, 2025-05-28 20:09:19, -78,        3, 74:FE:CE:2B:9E:BE,
14:75:5B:4B:3E:B7, 2025-05-28 20:09:12, 2025-05-28 20:10:49, -30,        3, (not associated) ,
92:00:43:95:DA:19, 2025-05-28 20:09:13, 2025-05-28 20:11:13, -64,      350, 08:AA:89:6D:36:A8,OZONE_COFFEE_HOUSE
5E:AF:D4:0C:62:1E, 2025-05-28 20:09:14, 2025-05-28 20:10:21, -72,       39, 74:FE:CE:2B:9E:BE,GO GYM
8A:89:22:5D:E2:47, 2025-05-28 20:09:14, 2025-05-28 20:09:14, -62,        1, (not associated) ,
D6:3E:19:66:FF:1E, 2025-05-28 20:09:14, 2025-05-28 20:09:14, -54,        2, (not associated) ,
